1000 3
5.549112714354422771e-01 -5.213493522704097494e+00 -5.549112714354422771e-01
5.622978632507932284e-01 -5.160379571897274253e+00 -5.622978632507931174e-01
5.696738818467188548e-01 -5.107806747596293384e+00 -5.696738818467189658e-01
5.770368996181897137e-01 -5.055769475266837176e+00 -5.770368996181897137e-01
5.843844731256815361e-01 -5.004262201674447574e+00 -5.843844731256815361e-01
5.917141441228024323e-01 -4.953279397357967184e+00 -5.917141441228024323e-01
5.990234405925288774e-01 -4.902815558993975920e+00 -5.990234405925288774e-01
6.063098777914760484e-01 -4.852865211654801669e+00 -6.063098777914760484e-01
6.135709593015467034e-01 -4.803422910962320991e+00 -6.135709593015467034e-01
6.208041780883839511e-01 -4.754483245140146863e+00 -6.208041780883839511e-01
6.280070175659763221e-01 -4.706040836966411511e+00 -6.280070175659762111e-01
6.351769526668324950e-01 -4.658090345629627649e+00 -6.351769526668324950e-01
6.423114509170818609e-01 -4.610626468489854801e+00 -6.423114509170818609e-01
6.494079735159171696e-01 -4.563643942747592774e+00 -6.494079735159169475e-01
6.564639764187337745e-01 -4.517137547022587185e+00 -6.564639764187338855e-01
6.634769114233951548e-01 -4.471102102844909609e+00 -6.634769114233951548e-01
6.704442272589706819e-01 -4.425532476060440423e+00 -6.704442272589706819e-01
6.773633706763878548e-01 -4.380423578153101793e+00 -6.773633706763877438e-01
6.842317875403487459e-01 -4.335770367485877408e+00 -6.842317875403487459e-01
6.910469239219579896e-01 -4.291567850462921108e+00 -6.910469239219579896e-01
6.978062271914177161e-01 -4.247811082614746603e+00 -6.978062271914177161e-01
7.045071471102433147e-01 -4.204495169608723160e+00 -7.045071471102432037e-01
7.111471369223737460e-01 -4.161615268186828587e+00 -7.111471369223738570e-01
7.177236544436175203e-01 -4.119166587032786708e+00 -7.177236544436175203e-01
7.242341631488412590e-01 -4.077144387570540651e+00 -7.242341631488412590e-01
7.306761332563351807e-01 -4.035543984696075448e+00 -7.306761332563351807e-01
7.370470428087803061e-01 -3.994360747444479998e+00 -7.370470428087803061e-01
7.433443787502593825e-01 -3.953590099594212592e+00 -7.433443787502593825e-01
7.495656379987508666e-01 -3.913227520210415200e+00 -7.495656379987509776e-01
7.557083285135570705e-01 -3.873268544129122137e+00 -7.557083285135570705e-01
7.617699703571225722e-01 -3.833708762384185231e+00 -7.617699703571227943e-01
7.677480967507028797e-01 -3.794543822578676728e+00 -7.677480967507028797e-01
7.736402551233527713e-01 -3.755769429202524989e+00 -7.736402551233527713e-01
7.794440081537158393e-01 -3.717381343898088719e+00 -7.794440081537158393e-01
7.851569348040895457e-01 -3.679375385675340837e+00 -7.851569348040895457e-01
7.907766313462692986e-01 -3.641747431078321551e+00 -7.907766313462692986e-01
7.963007123786592922e-01 -3.604493414304434928e+00 -7.963007123786592922e-01
